Tempo (s),Amostra,PWM,Temperatura (°C)
947.69,777,40,39.93
948.90,778,42,39.44
950.25,779,42,39.44
951.47,780,42,39.44
952.92,781,39,40.42
954.45,782,39,40.42
955.69,783,40,39.93
957.01,784,40,39.93
958.25,785,40,39.93
959.45,786,42,39.44
960.66,787,42,39.44
961.87,788,40,39.93
963.10,789,42,39.44
964.76,790,42,39.44
966.02,791,41,39.93
967.23,792,41,39.93
968.44,793,43,38.95
969.64,794,42,39.44
970.85,795,41,39.93
972.07,796,41,39.93
973.28,797,43,38.95
974.51,798,41,39.93
975.78,799,41,39.93
977.02,800,41,39.93
978.26,801,43,38.95
979.47,802,39,40.42
980.74,803,42,39.44
981.93,804,41,39.93
983.18,805,41,39.93
984.39,806,39,40.42
985.58,807,42,39.44
986.81,808,39,40.42
988.01,809,39,40.42
989.21,810,43,38.95
990.42,811,41,39.93
991.62,812,39,40.42
992.81,813,41,39.93
994.02,814,42,39.44
995.26,815,43,38.95
996.45,816,42,39.44
997.65,817,41,39.93
998.86,818,40,40.42
1000.05,819,42,39.44
1001.25,820,41,39.93
1002.55,821,41,39.93
1003.76,822,42,39.44
1004.94,823,41,39.93
1006.16,824,42,39.44
1007.38,825,42,39.44
1008.60,826,40,40.42
1009.84,827,42,39.44
1011.07,828,42,39.44
1012.32,829,41,39.93
1013.53,830,42,39.44
1014.73,831,42,39.44
1015.96,832,42,39.44
1017.17,833,40,40.42
1018.37,834,44,38.95
1019.59,835,42,39.44
1020.81,836,42,39.44
1022.08,837,41,39.93
1023.32,838,41,39.93
1024.53,839,43,39.44
1025.75,840,40,40.42
1026.98,841,45,38.47
1028.30,842,40,40.42
1029.54,843,41,39.93
1030.76,844,41,39.93
1031.98,845,44,38.95
1033.17,846,41,39.93
1034.40,847,40,40.42
1035.66,848,40,40.42
1036.87,849,43,39.44
1038.10,850,44,38.95
1039.63,851,40,40.42
1040.84,852,43,39.44
1042.04,853,43,39.44
1043.24,854,40,40.42
1044.44,855,43,39.44
1045.67,856,43,39.44
1046.89,857,40,40.42
1048.08,858,43,39.44
1049.32,859,43,39.44
1050.51,860,41,39.93
1051.71,861,43,39.44
1052.95,862,43,39.44
1054.16,863,41,39.93
1055.38,864,43,39.44
1056.59,865,42,39.93
1057.81,866,40,40.42
1059.01,867,42,39.93
1060.24,868,42,39.93
1061.46,869,43,39.44
1062.67,870,42,39.93
1063.89,871,43,39.44
1065.12,872,43,39.44
1066.35,873,42,39.93
1067.55,874,43,39.44
1068.76,875,42,39.93
1069.97,876,43,39.44
1071.18,877,42,39.93
1072.41,878,42,39.93
1073.61,879,42,39.93
1074.81,880,40,40.42
1076.01,881,40,40.42
1077.24,882,40,40.42
1078.45,883,40,40.42
1079.67,884,42,39.93
1080.88,885,42,39.93
1082.13,886,43,39.44
1083.37,887,42,39.93
1084.57,888,40,40.42
1085.79,889,42,39.93
1086.98,890,43,39.44
1088.17,891,43,39.44
1089.36,892,42,39.93
1090.66,893,42,39.93
1091.85,894,42,39.93
1093.07,895,40,40.42
1094.32,896,42,39.93
1095.56,897,42,39.93
1096.80,898,40,40.42
1098.00,899,43,39.44
1099.21,900,39,40.91
