Tempo (s),PWM,Temperatura (ºC)
461,127,14.6627566
462,127,14.6627566
463,127,14.6627566
464,127,15.15151515
465,127,14.6627566
466,127,14.6627566
467,127,14.6627566
468,127,14.6627566
469,127,15.15151515
470,127,14.6627566
471,127,15.15151515
472,127,15.15151515
473,127,15.15151515
474,127,15.15151515
475,127,15.6402737
476,127,15.15151515
477,127,15.15151515
478,127,15.15151515
479,127,14.6627566
481,127,14.17399804
482,127,14.6627566
483,127,14.6627566
484,127,14.6627566
485,127,14.6627566
486,127,14.6627566
487,127,14.6627566
488,127,14.6627566
489,127,14.6627566
490,127,15.15151515
491,127,15.15151515
492,127,15.15151515
493,127,15.15151515
494,127,15.15151515
495,127,15.6402737
496,127,14.6627566
497,127,15.15151515
498,127,14.6627566
499,127,14.6627566
501,127,14.6627566
502,127,15.15151515
503,127,14.6627566
504,127,15.15151515
505,127,14.6627566
506,127,14.6627566
507,127,14.6627566
508,127,15.15151515
509,127,14.6627566
510,127,15.15151515
511,127,15.15151515
512,127,15.15151515
513,127,14.6627566
514,127,14.6627566
515,127,14.6627566
516,127,14.6627566
517,127,15.15151515
518,127,15.15151515
519,127,14.6627566
521,127,14.6627566
522,127,14.6627566
523,127,14.6627566
524,127,14.6627566
525,127,14.6627566
526,127,14.6627566
527,127,14.6627566
528,127,14.6627566
529,127,14.6627566
530,127,14.6627566
531,127,14.17399804
532,127,14.6627566
533,127,14.6627566
534,127,14.17399804
535,127,14.6627566
536,127,15.15151515
537,127,15.15151515
538,127,15.15151515
539,127,14.17399804
541,127,15.15151515
542,127,15.15151515
543,127,15.15151515
544,127,15.15151515
545,127,14.6627566
546,127,15.15151515
547,127,15.15151515
548,127,14.6627566
549,127,15.15151515
550,127,15.15151515
551,127,15.15151515
552,127,14.6627566
553,127,14.6627566
554,127,15.15151515
555,127,14.6627566
556,127,15.15151515
557,127,15.15151515
558,127,15.15151515
560,127,15.15151515
561,127,14.6627566
562,127,14.6627566
563,127,14.6627566
564,127,14.6627566
565,127,14.6627566
566,127,14.6627566
567,127,14.6627566
568,127,14.6627566
569,127,14.6627566
570,127,14.6627566
571,127,15.15151515
572,127,14.6627566
573,127,14.6627566
574,127,14.17399804
575,127,14.6627566
576,127,14.6627566
578,127,14.6627566
579,127,14.6627566
580,127,14.6627566
581,127,14.6627566
582,127,13.68523949
583,127,14.6627566
584,127,14.6627566
585,127,14.6627566
586,127,14.6627566
587,127,15.15151515
588,127,15.15151515
589,127,15.15151515
590,127,14.6627566
591,127,15.15151515
592,127,15.15151515
593,127,15.15151515
594,127,15.15151515
596,127,14.6627566
597,127,14.6627566
598,127,14.6627566
599,127,14.6627566
600,127,14.6627566
